|1| - (2, 5) - (3, 8)
|2| - (1, 5) - (3, 2) - (4, 9)
|3| - (1, 8) - (2, 2) - (4, 3) - (5, 7)
|4| - (2, 9) - (3, 3) - (6, 1)
|5| - (3, 7) - (7, 4)
|6| - (4, 1) - (8, 6)
|7| - (5, 4) - (9, 2)
|8| - (6, 6) - (10, 3)
|9| - (7, 2) - (11, 5)
|10| - (8, 3) - (12, 7)
|11| - (9, 5) - (13, 2)
|12| - (10, 7) - (14, 4)
|13| - (11, 2) - (15, 6)
|14| - (12, 4) - (16, 8)
|15| - (13, 6) - (17, 9)
|16| - (14, 8) - (18, 4)
|17| - (15, 9) - (19, 3)
|18| - (16, 4) - (20, 2)
|19| - (17, 3) - (21, 1)
|20| - (18, 2) - (22, 7)
|21| - (19, 1) - (23, 5)
|22| - (20, 7) - (24, 6)
|23| - (21, 5) - (25, 8)
|24| - (22, 6) - (26, 9)
|25| - (23, 8) - (27, 3)
|26| - (24, 9) - (28, 7)
|27| - (25, 3) - (29, 2)
|28| - (26, 7) - (30, 6)
|29| - (27, 2) - (31, 5)
|30| - (28, 6) - (32, 4)
|31| - (29, 5) - (33, 2)
|32| - (30, 4) - (34, 3)
|33| - (31, 2) - (35, 1)
|34| - (32, 3) - (36, 7)
|35| - (33, 1) - (37, 8)
|36| - (34, 7) - (38, 4)
|37| - (35, 8) - (39, 6)
|38| - (36, 4) - (40, 2)
|39| - (37, 6) - (41, 3)
|40| - (38, 2) - (42, 5)
|41| - (39, 3) - (43, 9)
|42| - (40, 5) - (44, 1)
|43| - (41, 9) - (45, 7)
|44| - (42, 1) - (46, 8)
|45| - (43, 7) - (47, 2)
|46| - (44, 8) - (48, 5)
|47| - (45, 2) - (49, 3)
|48| - (46, 5) - (50, 4)
|49| - (47, 3)
|50| - (48, 4)
